original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"BUDAI NAGY ANTAL U. 82.,"" HAJDÚBÖSZÖRMÉNY"",47.3940436,19.2604433,""Vecsés, Budai Nagy Antal utca 82, 2220, Magyarország"",82,,Budai Nagy Antal utca,,Kispatak-lakópark,2220,Vecsés,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FUTÁR UTCA 18.,"" BUDAPEST"",47.53933585,19.088659976462424,""Budapest, Futár utca 18, 1131, Magyarország"",18,,Futár utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁPOLNA UTCA 2-4. HRSZ.: 228461/1,"" BP."",47.415506,19.011718,""Budapest, Kápolna utca 2-4, 1223, Magyarország"",2-4,,Kápolna utca,,Budafok,1223,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.5454545454545454,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VASVÁRY PÁL UTCA 1.,"" GYOR"",47.4481235,18.5411598,""Bodmér, Vasváry Pál utca, 8080, Magyarország"",,Vasváry Pál utca,Vasváry Pál utca,,,8080,Bodmér,,Fejér vármegye,Közép-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁROSHÁZ TÉR 8,"" MISKOLC"",48.1036685,20.7779134,""Miskolc, Városház tér 8, 3525, Magyarország"",8,,Városház tér,Jókai-lakótelep,Belváros,3525,Miskolc,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VERECKE U. 114. HRSZ.: 15892/7,"" BP."",,,,,,,,,,,,,,,,,,,,"
"RÁKÓCZI F. UTCA 12.,"" KISÚJSZÁLLÁS"",47.4531597,18.587639,""Felcsút, Rákóczi Ferenc utca 1/F, 8086, Magyarország"",1/F,,Rákóczi Ferenc utca,,,8086,Felcsút,,Fejér vármegye,Közép-Dunántúl,,Magyarország,hu,0.4909090909090909,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KORONA KÖZ 1.,"" VESZPRÉM"",47.0833786,17.897082899467463,""Ezüsthíd Hotel és Étterem, Veszprém, Korona köz 1, 8200, Magyarország"",1,Ezüsthíd Hotel és Étterem,Korona köz,Takácskert,Jeruzsálemhegy,8200,Veszprém,,Veszprém vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIRÁLY SOR 30.,"" SZÉKESFEHÉRVÁR"",47.1954344,18.4257579,""Székesfehérvár, Király sor 30, 8000, Magyarország"",30,,Király sor,,Víziváros,8000,Székesfehérvár,,Fejér,Közép-Dunántúl,,Magyarország,hu,1,,,"
"NYÍRI ÚT 38.,"" KECSKEMÉT"",46.9097673,19.6750262,""Kecskemét, Nyíri út 38, 6000, Magyarország"",38,,Nyíri út,,Máriaváros,6000,Kecskemét,,Bács-Kiskun vármegye,Dél-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PANNONHALMI ÚT 56.,"" BUDAPEST"",47.4735036,19.011648494263774,""Budapest, Pannonhalmi út 56, 1118, Magyarország"",56,,Pannonhalmi út,XI. kerület,Sasad,1118,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZABÓ ILONKA UTCA 9.,"" BUDAPEST"",47.502985,19.0356977,""Budapest, Szabó Ilonka utca 9, 1015, Magyarország"",9,,Szabó Ilonka utca,I. kerület,Buda,1015,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NYÍRPALOTA UTCA 6.,"" BUDAPEST"",47.545404,19.141232,""Budapest, Nyírpalota út, 1156, Magyarország"",,,Nyírpalota út,,Pestújhely,1156,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MÁRTON U 10.,"" BUDAPEST"",47.3716448,18.846917878710848,""Tárnok, Marton utca 10, 2461, Magyarország"",10,,Marton utca,,,2461,Tárnok,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KACSA UTCA 15-23.,"" BUDAPEST"",47.510233,19.0368825,""Gnocco Residence önkiszolgáló étterem és kávézó, Budapest, Kacsa utca 15-23, 1027, Magyarország"",15-23,Gnocco Residence önkiszolgáló étterem és kávézó,Kacsa utca,II. kerület,Víziváros,1027,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GANZ UTCA 16.,"" BUDAPEST"",47.5109919,19.0361919,""Budapest, Ganz utca 16, 1027, Magyarország"",16,,Ganz utca,II. kerület,Víziváros,1027,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BESZÉDES J. SÉTÁNY 56.,"" SIÓFOK"",46.915115,18.064007,""Balatonkiliti, Beszédes József sétány 83, 8600, Magyarország"",83,,Beszédes József sétány,,,8600,Balatonkiliti,,Somogy,Dél-Dunántúl,,Magyarország,hu,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓCZI UTCA 16-18.,"" HÉVÍZ"",46.7887649,17.189255,""Brix Bistro, Hévíz, Rákóczi utca 16-18, 8380, Magyarország"",16-18,Brix Bistro,Rákóczi utca,,Egregy,8380,Hévíz,,Zala vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉRC U 4/A,"" BUDAPEST"",47.488169299999996,19.043091283738505,""Budapest, Bérc utca 4/A, 1016, Magyarország"",4/A,,Bérc utca,I. kerület,Buda,1016,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ZSÁMBÉK,"" ZSÁMBÉK"",47.5483115,18.7174344,""Zsámbék, 2072, Magyarország"",,,,,,2072,Zsámbék,1,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÖRÖSMARTY UTCA 64.,"" MISKOLC"",47.5104084,19.0617657,""Budapest, Vörösmarty utca 64, 1064, Magyarország"",64,,Vörösmarty utca,VI. kerület,Terézváros,1064,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁROSLIGETI FASOR 16.,"" BUDAPEST"",47.509096850000006,19.07507100535002,""Budapest, Városligeti fasor 16, 1068, Magyarország"",16,,Városligeti fasor,VI. kerület,Terézváros,1068,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RAKTÁR UTCA 54.,"" BUDAPEST"",47.5464987,19.035745181594596,""Budapest, Raktár utca 54, 1035, Magyarország"",54,,Raktár utca,III. kerület,Óbuda,1035,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓCZI FERENC UTCA 50-52.,"" HALÁSZTELEK"",47.2415981,18.2950032,""Iszkaszentgyörgy, Rákóczi Ferenc utca 51, Magyarország"",51,,Rákóczi Ferenc utca,,,,Iszkaszentgyörgy,,Fejér,Közép-Dunántúl,,Magyarország,hu,0.7,,,"
"DÓZSA TELEP 69.,"" TISZAKÉCSKE"",46.2124852,20.5083372,""Makó, Dózsa-telep, 6900, Magyarország"",,Dózsa-telep,Dózsa-telep,,Dózsa-telep,6900,Makó,,Csongrád-Csanád vármegye,Dél-Alföld,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SOMOGYI UTCA 16.,"" SZEGED"",46.2495041,20.1479918,""Szeged, Somogyi utca 16, 6720, Magyarország"",16,,Somogyi utca,,Belváros,6720,Szeged,,Csongrád-Csanád vármegye,Dél-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SÓ UTCA 4.,"" BUDAPEST"",46.27594035,20.17103124760035,""Szeged, Só utca 4, 6727, Magyarország"",4,,Só utca,Nagyszilléri domb,Tarján,6727,Szeged,,Csongrád-Csanád vármegye,Dél-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PINTY UTCA 15. ,"" BUDAPEST"",47.4904058,18.9868488,""Budapest, Pinty utca 15, 1121, Magyarország"",15,,Pinty utca,XII. kerület,Széchenyihegy,1121,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"CORVIN SÉTÁNY 4.,"" BUDAPEST"",47.4860372,19.0767802,""Budapest, Corvin sétány 4, 1082, Magyarország"",4,,Corvin sétány,VIII. kerület,Corvin negyed,1082,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BAJCSY-ZSILINSZKY ÚT 78.,"" BUDAPEST"",47.509392,19.0538349,""Budapest, Bajcsy-Zsilinszky út 78, 1055, Magyarország"",78,,Bajcsy-Zsilinszky út,V. kerület,Lipótváros,1055,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÉTKERÜLO UTCA 41.,"" BUDAPEST"",47.463205,19.001342,""Budapest, Rétkerülő út, 1112, Magyarország"",,,Rétkerülő út,,Mártonhegy,1112,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÖZRAKTÁR U. 2-4. - MÁTYÁS U.,"" BP."",,,,,,,,,,,,,,,,,,,,"
"KUNIGUNDA ÚTJA 64.,"" BUDAPEST"",47.5578335,19.0342444,""Budapest, Kunigunda útja 64, 1037, Magyarország"",64,,Kunigunda útja,III. kerület,Kaszásdűlő,1037,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"EAST GATE BUS. PARK HRSZ.: 0221/12,"" FÓT"",47.588207,19.148887,""East Gate Business Park, Magyarország"",,East Gate Business Park,,,,,,,,,,Magyarország,hu,0.315,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁLVIN UTCA 1.,"" HRSZ.: 3310, ABONY"",46.0679665,18.2260399,""Pécs, Kálvin utca 1, 7623, Magyarország"",1,,Kálvin utca,Schlauch-villatelep,Siklósi városrész,7623,Pécs,,Baranya vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HOLLAND FASOR 15. HRSZ.:9917,"" SZÉKESFEH."",47.146331,18.424103,""Székesfehérvár, Holland fasor, 8000, Magyarország"",,,Holland fasor,,Őrhalmiszőlők,8000,Székesfehérvár,,Fejér,Közép-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FEJÉR GYÖRGY UTCA 10.,"" BUDAPEST"",47.4893103,19.058911672176592,""Budapest, Fejér György utca 10, 1053, Magyarország"",10,,Fejér György utca,V. kerület,Pest,1053,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKE ÚT 35/B,"" BUDAPEST"",47.9304015,21.0413737,""Tiszaújváros, Béke út, 3580, Magyarország"",,Béke út,Béke út,,Kertváros,3580,Tiszaújváros,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BALOGH ÁDÁM KÖZ 2. ,"" BUDAPEST"",47.52582805,19.001060891304526,""Budapest, Balogh Ádám köz 2/b, 1026, Magyarország"",2/b,,Balogh Ádám köz,II. kerület,Törökvész,1026,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 33.,"" BUDAPEST"",47.5247343,19.0650685,""Budapest, Váci út 33, 1134, Magyarország"",33,,Váci út,XIII. kerület,Angyalföld,1134,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LORINCI ÚT 59.,"" VECSÉS"",47.4171309,19.1846998,""Budapest, Lőrinci út, 1182, Magyarország"",,Lőrinci út,Lőrinci út,XVIII. kerület,Halmierdő,1182,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FO UTCA 8.,"" SZÉKESFEHÉRVÁR"",46.806384800000004,17.778287143282647,""Balatonszemes, Fő utca 8, 8636, Magyarország"",8,,Fő utca,,,8636,Balatonszemes,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 70.,"" BUDAPEST"",47.53536926,19.085837700000003,""Budapest, Jász utca 70, 1135, Magyarország"",70,,Jász utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KOSSUTH LAJOS TÉR,"" HRSZ.: 2713/6, HATVAN"",47.5057199,19.0449808,""Kossuth Lajos tér, Budapest, Kossuth Lajos tér, 1055, Magyarország"",,Kossuth Lajos tér,Kossuth Lajos tér,V. kerület,Lipótváros,1055,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
